,Unnamed: 0,Hour,date,Topic,tweets,Male,MaleHate,FemaleHate
0,23976,9,08-01-2021,0,14.0,8.0,1.0,1.0
78,26512,10,08-01-2021,1,42.0,23.0,3.0,3.0
77,26513,10,08-01-2021,2,5.0,2.0,0.0,0.0
76,26514,10,08-01-2021,4,13.0,8.0,1.0,1.0
75,1282,0,08-01-2021,5,3.0,2.0,0.0,0.0
74,1281,0,08-01-2021,4,6.0,4.0,1.0,0.0
73,1280,0,08-01-2021,1,4.0,3.0,0.0,0.0
72,50477,20,08-01-2021,5,0.0,1.0,0.0,0.0
71,3752,1,08-01-2021,0,17.0,10.0,2.0,1.0
70,50475,20,08-01-2021,1,1.0,0.0,1.0,0.0
69,34104,13,08-01-2021,0,25.0,14.0,2.0,2.0
68,36646,14,08-01-2021,2,5.0,3.0,1.0,0.0
67,36645,14,08-01-2021,1,10.0,5.0,0.0,0.0
66,36644,14,08-01-2021,0,20.0,12.0,2.0,1.0
65,34107,13,08-01-2021,5,4.0,3.0,0.0,0.0
64,34106,13,08-01-2021,4,18.0,10.0,2.0,1.0
63,34105,13,08-01-2021,1,11.0,7.0,1.0,1.0
62,48365,19,08-01-2021,0,4.0,3.0,1.0,0.0
61,36648,14,08-01-2021,5,4.0,2.0,0.0,0.0
60,48366,19,08-01-2021,1,2.0,2.0,1.0,0.0
59,48367,19,08-01-2021,4,2.0,1.0,1.0,0.0
58,48368,19,08-01-2021,5,1.0,1.0,0.0,0.0
57,8858,3,08-01-2021,5,6.0,3.0,1.0,0.0
56,8857,3,08-01-2021,4,11.0,6.0,0.0,0.0
79,50476,20,08-01-2021,4,2.0,2.0,1.0,0.0
55,8856,3,08-01-2021,3,5.0,2.0,1.0,0.0
80,26511,10,08-01-2021,0,27.0,14.0,3.0,2.0
83,13906,5,08-01-2021,4,15.0,8.0,1.0,1.0
106,29040,11,08-01-2021,5,8.0,5.0,0.0,0.0
105,29039,11,08-01-2021,4,21.0,11.0,1.0,1.0
104,29038,11,08-01-2021,1,25.0,14.0,3.0,2.0
