,Unnamed: 0,Hour,date,Topic,tweets,Male,MaleHate,FemaleHate
0,2804,1,08-01-2021,0,2,1,0,0
14,4728,2,08-01-2021,4,12,6,0,0
13,9482,4,08-01-2021,5,30,21,2,0
12,9481,4,08-01-2021,4,36,18,0,0
10,9479,4,08-01-2021,1,12,8,0,0
9,9478,4,08-01-2021,0,62,37,4,2
8,4727,2,08-01-2021,0,12,7,0,0
11,9480,4,08-01-2021,2,2,1,0,0
6,955,0,08-01-2021,0,8,5,0,0
5,6927,3,08-01-2021,5,5,3,0,0
4,6926,3,08-01-2021,4,14,7,0,0
3,6925,3,08-01-2021,1,2,1,0,0
2,6924,3,08-01-2021,0,18,9,0,0
1,956,0,08-01-2021,4,8,5,0,0
7,2805,1,08-01-2021,5,5,3,0,0
25,9487,4,08-02-2021,1,2,1,0,0
32,6936,3,08-02-2021,5,5,2,0,0
31,963,0,08-02-2021,5,5,3,0,0
30,962,0,08-02-2021,4,4,2,0,0
29,961,0,08-02-2021,0,6,3,0,0
28,2811,1,08-02-2021,5,5,3,0,0
27,2810,1,08-02-2021,4,14,9,1,0
26,2809,1,08-02-2021,0,16,11,0,0
24,6934,3,08-02-2021,2,2,1,0,0
20,4733,2,08-02-2021,1,2,1,0,0
22,9489,4,08-02-2021,5,5,3,0,0
21,4732,2,08-02-2021,0,8,5,0,0
19,4734,2,08-02-2021,4,6,4,0,0
18,9486,4,08-02-2021,0,44,30,0,0
17,9488,4,08-02-2021,4,40,24,1,0
16,6933,3,08-02-2021,1,4,2,0,0
15,6932,3,08-02-2021,0,28,14,1,0
23,6935,3,08-02-2021,4,20,12,0,0
44,9498,4,08-03-2021,3,8,4,0,0
45,9500,4,08-03-2021,5,35,21,2,0
46,9499,4,08-03-2021,4,42,21,0,0
50,4741,2,08-03-2021,4,4,2,0,0
48,6942,3,08-03-2021,4,18,9,0,0
49,4740,2,08-03-2021,1,2,1,0,0
43,9497,4,08-03-2021,2,8,4,0,0
47,6943,3,08-03-2021,5,20,10,0,0
42,9496,4,08-03-2021,1,8,5,0,0
40,6941,3,08-03-2021,0,26,18,0,0
41,9495,4,08-03-2021,0,74,44,6,1
39,4739,2,08-03-2021,0,6,3,0,0
38,968,0,08-03-2021,0,10,6,0,0
37,969,0,08-03-2021,1,2,1,0,0
36,970,0,08-03-2021,4,6,3,0,0
35,971,0,08-03-2021,5,5,2,0,0
34,2813,1,08-03-2021,4,8,4,0,0
33,2812,1,08-03-2021,0,8,5,0,0
63,6950,3,08-04-2021,5,10,5,0,0
64,977,0,08-04-2021,5,25,12,0,0
65,4745,2,08-04-2021,0,18,10,0,0
66,9508,4,08-04-2021,5,15,9,0,0
61,6948,3,08-04-2021,1,2,1,0,0
68,2817,1,08-04-2021,0,10,7,0,0
69,2818,1,08-04-2021,2,2,1,0,0
62,6949,3,08-04-2021,4,20,14,1,0
71,2820,1,08-04-2021,5,10,7,0,0
67,975,0,08-04-2021,0,20,10,0,0
70,2819,1,08-04-2021,4,4,2,0,0
58,4749,2,08-04-2021,5,10,5,0,0
59,9507,4,08-04-2021,4,32,19,0,1
57,4748,2,08-04-2021,4,10,7,0,0
56,4747,2,08-04-2021,2,2,1,0,0
55,4746,2,08-04-2021,1,2,1,0,0
54,976,0,08-04-2021,4,10,7,0,0
53,9504,4,08-04-2021,0,66,46,0,0
52,9505,4,08-04-2021,1,22,11,0,0
51,9506,4,08-04-2021,2,6,3,0,0
60,6947,3,08-04-2021,0,26,15,1,0
85,983,0,08-05-2021,2,2,1,0,0
84,984,0,08-05-2021,4,4,2,0,0
86,982,0,08-05-2021,1,2,1,0,0
83,9514,4,08-05-2021,1,16,9,1,0
88,9515,4,08-05-2021,2,2,1,0,0
89,2824,1,08-05-2021,5,10,5,0,0
90,2823,1,08-05-2021,0,4,2,0,0
87,981,0,08-05-2021,0,14,9,0,0
82,985,0,08-05-2021,5,15,7,0,0
81,9516,4,08-05-2021,4,42,21,2,1
80,9517,4,08-05-2021,5,55,33,0,0
73,6955,3,08-05-2021,0,40,24,0,1
74,6956,3,08-05-2021,1,8,4,0,0
75,6957,3,08-05-2021,4,26,15,0,0
72,9513,4,08-05-2021,0,82,49,3,1
77,4753,2,08-05-2021,0,26,13,1,0
78,4754,2,08-05-2021,4,22,15,1,0
79,4755,2,08-05-2021,5,10,7,0,0
76,6958,3,08-05-2021,5,15,7,0,0
101,2830,1,08-06-2021,1,2,1,0,0
107,992,0,08-06-2021,4,6,4,0,0
106,2832,1,08-06-2021,5,5,3,0,0
105,2831,1,08-06-2021,4,4,2,0,0
104,991,0,08-06-2021,1,4,2,0,0
103,990,0,08-06-2021,0,10,7,1,0
102,9525,4,08-06-2021,4,32,22,1,0
100,2829,1,08-06-2021,0,8,4,0,0
99,6963,3,08-06-2021,0,20,14,1,0
98,4762,2,08-06-2021,5,25,12,1,0
97,4761,2,08-06-2021,4,8,4,0,0
96,4760,2,08-06-2021,0,18,9,0,0
95,6965,3,08-06-2021,5,15,7,0,0
94,6964,3,08-06-2021,4,14,9,0,0
93,9526,4,08-06-2021,5,50,25,2,2
92,9524,4,08-06-2021,1,4,2,0,0
91,9523,4,08-06-2021,0,56,28,0,0
120,9535,4,08-07-2021,5,20,10,1,0
121,9534,4,08-07-2021,4,28,19,1,0
123,9532,4,08-07-2021,1,4,2,0,0
124,9531,4,08-07-2021,0,48,24,0,0
128,6972,3,08-07-2021,4,8,4,0,0
126,1000,0,08-07-2021,5,5,2,0,0
127,6973,3,08-07-2021,5,20,14,1,0
119,2838,1,08-07-2021,5,5,3,0,0
125,2837,1,08-07-2021,4,2,1,0,0
118,4769,2,08-07-2021,5,5,2,0,0
122,9533,4,08-07-2021,2,8,4,0,0
116,998,0,08-07-2021,2,4,2,0,0
115,997,0,08-07-2021,1,2,1,0,0
114,6969,3,08-07-2021,0,20,10,1,0
117,999,0,08-07-2021,4,16,8,1,0
113,6970,3,08-07-2021,1,2,1,0,0
112,6971,3,08-07-2021,2,2,1,0,0
111,996,0,08-07-2021,0,24,16,2,0
110,2836,1,08-07-2021,0,4,2,0,0
109,4767,2,08-07-2021,0,10,5,0,0
108,4768,2,08-07-2021,4,8,4,0,0
140,1005,0,08-08-2021,0,6,3,0,0
139,1006,0,08-08-2021,4,4,2,0,0
138,9541,4,08-08-2021,4,28,14,2,1
137,9540,4,08-08-2021,0,28,19,0,0
136,1007,0,08-08-2021,5,5,3,0,0
135,4772,2,08-08-2021,0,12,8,0,0
141,4773,2,08-08-2021,4,12,6,0,0
133,6978,3,08-08-2021,0,10,7,1,0
132,6980,3,08-08-2021,4,8,5,0,0
131,6979,3,08-08-2021,1,2,1,0,0
130,2844,1,08-08-2021,4,10,5,0,0
129,2845,1,08-08-2021,5,5,2,0,0
134,2843,1,08-08-2021,0,12,6,0,0
156,6986,3,08-09-2021,5,10,5,0,0
155,6985,3,08-09-2021,4,16,9,0,0
154,6984,3,08-09-2021,0,20,10,0,0
153,1011,0,08-09-2021,0,4,2,0,0
152,1012,0,08-09-2021,4,2,1,0,0
151,4777,2,08-09-2021,0,18,12,1,0
150,9547,4,08-09-2021,4,28,14,1,0
149,9546,4,08-09-2021,1,8,4,0,0
147,4779,2,08-09-2021,5,15,7,0,0
146,2851,1,08-09-2021,5,5,2,0,0
145,2850,1,08-09-2021,0,2,1,0,0
144,4778,2,08-09-2021,4,12,7,0,0
143,1013,0,08-09-2021,5,5,3,0,0
142,9548,4,08-09-2021,5,25,12,0,0
148,9545,4,08-09-2021,0,46,32,2,0
166,9553,4,08-10-2021,0,54,37,2,0
172,9557,4,08-10-2021,5,50,35,1,1
171,9556,4,08-10-2021,4,26,18,0,0
170,9555,4,08-10-2021,2,4,2,0,0
168,4782,2,08-10-2021,0,8,5,0,0
167,9554,4,08-10-2021,1,4,2,0,0
165,4783,2,08-10-2021,4,4,2,0,0
169,1019,0,08-10-2021,4,2,1,0,0
163,1020,0,08-10-2021,5,10,6,0,0
162,1018,0,08-10-2021,1,2,1,0,0
161,6990,3,08-10-2021,0,24,14,0,0
160,6991,3,08-10-2021,2,2,1,0,0
164,4784,2,08-10-2021,5,10,6,0,0
159,6992,3,08-10-2021,4,16,8,0,0
158,6993,3,08-10-2021,5,15,7,0,0
157,1017,0,08-10-2021,0,8,4,0,0
186,9567,4,08-11-2021,4,32,19,0,1
187,9563,4,08-11-2021,0,60,36,2,1
188,4789,2,08-11-2021,4,10,5,0,0
189,4787,2,08-11-2021,0,16,11,0,0
193,4790,2,08-11-2021,5,10,5,0,0
191,1026,0,08-11-2021,5,5,3,0,0
