Hour,date,Topic,tweets,Male,MaleHate,FemaleHate
0,01-01-2023,0,15,12,6,0
0,01-01-2023,1,6,3,0,0
0,01-01-2023,2,6,6,6,0
0,01-01-2023,4,3,3,0,0
0,01-02-2023,0,9,3,0,0
0,01-02-2023,1,6,3,0,0
0,01-02-2023,4,3,0,0,0
0,01-03-2023,0,6,6,6,0
0,01-03-2023,2,6,6,6,0
0,01-05-2023,0,14,9,3,0
0,01-05-2023,4,8,6,3,0
0,01-05-2023,5,6,3,0,0
0,01-06-2023,0,9,3,0,0
0,01-06-2023,1,3,0,0,0
0,01-06-2023,4,6,3,0,0
0,01-07-2023,0,9,0,0,6
0,01-07-2023,1,3,0,0,0
0,01-07-2023,2,6,0,0,6
0,01-08-2023,0,11,11,3,0
0,01-08-2023,1,5,5,0,0
0,01-08-2023,3,6,6,3,0
0,01-09-2023,0,8,6,2,0
0,01-09-2023,1,6,4,0,0
0,01-09-2023,5,2,2,2,0
0,01-10-2023,0,10,8,0,0
0,01-10-2023,1,9,8,0,0
0,01-10-2023,4,1,0,0,0
0,01-13-2022,0,8,4,0,0
0,01-13-2022,4,8,4,0,0
0,01-13-2023,0,4,4,2,0
0,01-13-2023,2,4,4,2,0
0,01-14-2022,0,8,4,0,0
0,01-14-2022,4,6,4,0,0
0,01-14-2022,5,5,3,0,0
0,01-14-2023,0,12,3,0,0
0,01-14-2023,1,12,3,0,0
0,01-15-2022,0,20,10,1,0
0,01-15-2022,1,2,1,0,0
0,01-15-2022,4,16,8,0,0
0,01-15-2022,5,5,3,0,0
0,01-15-2023,0,2,2,0,0
0,01-15-2023,4,2,2,0,0
0,01-16-2022,0,8,4,0,0
0,01-16-2022,4,8,5,0,0
0,01-16-2023,0,6,3,0,0
0,01-16-2023,1,3,3,0,0
0,01-16-2023,4,3,0,0,0
0,01-17-2022,0,12,7,0,0
0,01-17-2022,4,12,7,0,0
0,01-17-2023,0,15,15,9,0
0,01-17-2023,2,12,12,6,0
0,01-17-2023,4,3,3,3,0
0,01-18-2022,0,8,5,0,0
0,01-18-2022,1,2,1,0,0
0,01-18-2022,4,2,1,0,0
0,01-18-2022,5,10,5,0,0
0,01-18-2023,0,21,3,0,6
0,01-18-2023,1,3,3,0,0
0,01-18-2023,2,12,0,0,6
0,01-18-2023,5,6,0,0,0
0,01-19-2022,0,8,4,0,0
0,01-19-2022,1,4,2,0,0
0,01-19-2022,4,4,2,0,0
0,01-19-2023,0,18,12,3,0
0,01-19-2023,1,3,3,0,0
0,01-19-2023,4,3,3,3,0
0,01-19-2023,5,12,6,0,0
0,01-20-2022,0,4,2,0,0
0,01-20-2022,4,2,1,0,0
0,01-20-2022,5,5,2,0,0
0,01-20-2023,0,13,6,2,3
0,01-20-2023,1,5,2,2,1
0,01-20-2023,2,4,0,0,2
0,01-20-2023,5,4,4,0,0
0,01-21-2022,0,16,11,0,0
0,01-21-2022,1,8,4,0,0
0,01-21-2022,4,6,3,0,0
0,01-21-2022,5,5,3,0,0
0,01-21-2023,0,14,6,0,2
0,01-21-2023,1,2,0,0,0
0,01-21-2023,2,4,0,0,2
0,01-21-2023,4,4,2,0,0
0,01-21-2023,5,4,4,0,0
0,01-22-2022,0,4,2,0,0
0,01-22-2022,4,4,2,0,0
0,01-22-2023,0,8,8,2,0
0,01-22-2023,1,4,4,0,0
0,01-22-2023,4,2,2,2,0
0,01-22-2023,5,2,2,0,0
0,01-23-2022,0,12,6,0,0
0,01-23-2022,4,10,6,0,0
0,01-23-2022,5,5,3,0,0
0,01-23-2023,0,9,3,0,3
0,01-23-2023,1,6,3,0,3
0,01-23-2023,4,3,0,0,0
0,01-24-2022,0,14,9,0,0
0,01-24-2022,1,2,1,0,0
0,01-24-2022,4,10,6,0,0
0,01-24-2022,5,5,3,0,0
0,01-24-2023,0,17,2,2,0
0,01-24-2023,1,6,0,0,0
0,01-24-2023,4,5,2,2,0
0,01-24-2023,5,6,0,0,0
0,01-25-2022,0,10,6,0,0
0,01-25-2022,1,8,5,0,0
0,01-25-2022,4,2,1,0,0
0,01-25-2023,0,12,3,0,0
0,01-25-2023,1,3,0,0,0
0,01-25-2023,5,9,3,0,0
0,01-26-2022,0,8,5,0,0
0,01-26-2022,4,6,4,0,0
0,01-26-2022,5,5,3,0,0
0,01-26-2023,0,3,3,0,0
0,01-26-2023,5,3,3,0,0
0,01-27-2022,0,20,14,0,0
0,01-27-2022,4,18,10,0,0
0,01-27-2022,5,5,2,0,0
0,01-27-2023,0,3,0,0,0
0,01-27-2023,4,3,0,0,0
0,01-28-2022,0,10,7,1,0
0,01-28-2022,4,6,3,0,0
0,01-28-2022,5,10,7,0,0
0,01-28-2023,0,6,3,3,0
0,01-28-2023,1,3,0,0,0
0,01-28-2023,4,3,3,3,0
0,01-29-2022,0,16,9,0,0
0,01-29-2022,1,2,1,0,0
0,01-29-2022,4,14,8,0,0
0,01-29-2023,0,15,6,3,0
0,01-29-2023,1,12,6,3,0
0,01-29-2023,4,3,0,0,0
0,01-30-2022,0,2,1,0,0
0,01-30-2022,4,2,1,0,0
0,01-30-2023,0,3,3,0,0
0,01-30-2023,4,3,3,0,0
0,01-31-2022,0,20,14,0,0
0,01-31-2022,4,18,12,0,0
0,01-31-2022,5,5,2,0,0
0,01-31-2023,0,14,6,0,4
0,01-31-2023,1,6,4,0,0
0,01-31-2023,4,6,2,0,2
0,01-31-2023,5,2,0,0,2
0,01/01/2022,0,8,4,0,0
0,01/01/2022,1,2,1,0,0
0,01/01/2022,4,6,3,0,0
0,01/02/2022,0,4,2,0,0
0,01/02/2022,4,4,2,0,0
0,01/03/2022,0,10,7,0,0
0,01/03/2022,4,8,4,0,0
0,01/03/2022,5,5,3,0,0
0,01/04/2022,0,8,4,0,0
0,01/04/2022,1,2,1,0,0
0,01/04/2022,4,6,3,0,0
0,01/05/2022,0,14,8,0,0
0,01/05/2022,1,2,1,0,0
0,01/05/2022,4,12,7,0,0
0,01/06/2022,0,6,4,0,0
0,01/06/2022,4,6,3,0,0
0,01/07/2022,0,16,9,0,0
0,01/07/2022,1,4,2,0,0
0,01/07/2022,4,6,3,0,0
0,01/07/2022,5,15,7,0,0
0,01/08/2022,0,8,5,0,0
0,01/08/2022,1,6,3,0,0
0,01/08/2022,4,2,1,0,0
0,01/09/2022,0,10,6,0,0
